,image,MSE,PSNR,SSIM
258,he89513,197.1640421549479,25.003207138251557,0.5621209
259,he89523,693.735595703125,19.57243419564332,0.63843185
260,he89539,649.2030436197916,20.06519471110522,0.6286257
261,he89540,715.68017578125,19.42571332487238,0.6109626
262,he89541,642.3426920572916,20.031783652525256,0.61132383
263,he89542,581.7814127604166,20.36884526627546,0.60479283
264,he89543,623.4694010416666,20.132652967688273,0.58295196
265,he89544,453.9312337239583,21.521448874207216,0.64916176
266,he89564,114.81253051757812,27.668191209412164,0.32557693
267,he89565,178.6864013671875,25.445629699465265,0.37415108
268,he89566,173.8320109049479,25.635514982226084,0.4247531
269,he89570,152.07867431640625,25.964761825153396,0.61166
270,he89571,69.1786397298177,30.276114394836974,0.6356968
271,he89593,622.2495930989584,20.196459240566803,0.61041623
272,he89594,615.4656982421875,20.209706373632955,0.62749976
273,he89595,455.5849609375,21.680280309118032,0.60561633
274,he89596,475.8062744140625,21.348298597066076,0.57745665
275,he89597,363.0248616536458,22.4339158663131,0.57225066
276,he89598,571.9883626302084,20.3709470770179,0.57554555
277,he895,217.210693359375,24.595300169430296,0.5858803
278,he89616,157.6086629231771,25.845754114592463,0.3765963
279,he89617,166.09735107421875,26.04009733358356,0.3067066
280,he89618,214.6192626953125,24.680351330436693,0.34485647
281,he89619,235.2386271158854,24.297355065787286,0.44377264
282,he89620,250.79475911458334,24.195413321046946,0.48471484
283,he89621,151.35971069335938,26.261554284727396,0.59039414
284,he89624,197.7456258138021,25.111337191583164,0.5765888
285,he89626,32.1404062906901,33.44505552731714,0.6769738
286,he89627,185.47088623046875,25.31763763937051,0.6309455
287,he89647,585.7141927083334,20.379066907540377,0.7139403
288,he89648,558.115234375,20.58959636307307,0.60965115
289,he89649,645.8310546875,19.8651849396171,0.563662
290,he89650,436.6259358723958,21.66158138520465,0.61387694
291,he89651,491.8138020833333,21.20596333604524,0.55958575
292,he89652,534.0076497395834,21.01856940495051,0.6272996
293,he89653,413.89306640625,21.95954416683868,0.5685964
294,he89672,207.66776529947916,24.95081801410776,0.41368595
295,he89673,274.64882405598956,23.535362193207003,0.55776507
296,he89674,199.86590576171875,25.262739626128464,0.5737858
297,he89677,346.2130940755208,22.40754022876981,0.574922
298,he89678,243.6990966796875,24.183603772166165,0.57791394
299,he89680,210.33013916015625,24.725060896085743,0.6023384
300,he896,322.31190999348956,23.05132299891149,0.54129547
301,he89701,686.1346842447916,19.755020556022092,0.64411944
302,he89702,551.2828776041666,20.566043003704056,0.6422406
303,he89703,516.9618326822916,20.899144107771956,0.6137413
304,he89704,174.8198445638021,26.029851520498365,0.6161776
305,he89705,459.5575358072917,21.471449874108153,0.6003593
306,he89706,595.8770751953125,20.389088838838248,0.58510077
307,he89707,617.1851399739584,20.177938322595097,0.61664087
308,he89726,195.87495930989584,24.930974610574328,0.44111422
309,he89727,222.99165852864584,24.751489791434604,0.42758536
310,he89728,389.039794921875,22.066646164514175,0.5615354
311,he89729,312.0525716145833,23.10445400575692,0.528105
312,he89730,451.9041341145833,21.512639215994827,0.5497374
313,he89731,444.4014892578125,21.535387877283142,0.5369769
314,he89732,369.9981282552083,22.34670194601533,0.5478273
315,he89733,108.95071411132812,28.546376142154053,0.6998792
316,he89756,573.3960367838541,20.70474456569189,0.59981817
317,he89757,488.8418782552083,21.36364067225722,0.59779996
318,he89758,395.2421061197917,22.270192618445822,0.6221205
319,he89759,499.7718912760417,21.089394569348773,0.62216586
320,he89760,630.3980305989584,20.002768396122377,0.64272356
321,he89761,312.96376546223956,23.542731751749642,0.6150818
322,he89762,274.71339925130206,23.748952582184067,0.54340464
323,he89781,229.9176228841146,24.48664040839574,0.46361518
324,he89782,364.6713460286458,22.42530936738527,0.56901735
325,he89783,274.85780843098956,23.477478034489764,0.55875677
326,he89784,377.1479085286458,22.470239558903668,0.56474954
327,he897,195.67171223958334,25.179703652568456,0.5120055
328,he89809,482.5025227864583,21.204506616417156,0.5705323
329,he89810,436.9685872395833,21.615621619287143,0.5893794
330,he89811,572.5096028645834,20.460206111272154,0.5958758
331,he89812,414.6081136067708,22.258033174356868,0.59049505
332,he89813,410.6885172526042,22.351266482704656,0.6005273
333,he89814,577.9857177734375,20.72813156098202,0.6358103
334,he89815,377.5600179036458,22.404914645276783,0.6920387
335,he89816,242.8675333658854,23.831141541821967,0.6048516
336,he89838,156.79854329427084,26.55230552369021,0.60258174
337,he89839,271.1986083984375,23.90059406509049,0.5636141
338,he89863,63.45478312174479,30.278105243400432,0.64769053
339,he89866,258.07444254557294,24.053763585926966,0.62170184
340,he89867,345.1550699869792,22.625492589071246,0.62905425
341,he89868,369.6553548177083,22.59656047838098,0.6888359
342,he89869,539.0146891276041,20.607863800667218,0.598835
343,he89919,477.0995279947917,21.135386539184235,0.62377226
344,he89920,118.20192464192708,28.344217784435855,0.6453813
345,he89921,61.40636189778646,31.589823045314454,0.70073384
346,he89923,406.6688232421875,21.69976123120611,0.630993
347,he89974,516.53759765625,21.060211132269437,0.6511383
348,he89975,489.7963460286458,21.244178048161316,0.62696
349,he89976,706.4322102864584,19.57410875697053,0.64791507
350,he90026,556.8736979166666,20.692380433847717,0.62780523
351,he90027,583.8548990885416,20.40011900053537,0.6139304
352,he90028,556.6886393229166,20.631133238839382,0.6167317
353,he90029,613.3995361328125,20.18887099762701,0.6348533
354,he90030,413.2564697265625,22.01266458130098,0.6018347
355,he90031,532.6512044270834,20.702287035269205,0.58248264
356,he90080,330.60024007161456,23.13870880644973,0.6441002
357,he90081,472.2884928385417,21.363141832964306,0.60320216
358,he90082,478.8023681640625,21.63216185403089,0.6285057
359,he90083,367.115966796875,23.118205011292687,0.6434767
360,he90084,385.842041015625,22.375663034456338,0.61892194
361,he90085,319.4650065104167,22.824534339896832,0.60471797
362,he90134,119.4790751139323,27.596573135176566,0.6665127
363,he90135,743.5878092447916,19.3038941161943,0.6164412
364,he90136,513.1498209635416,20.84771271843219,0.60224456
365,he90137,592.0512288411459,20.151240094426548,0.6431189
366,he925,62.11534627278646,29.98934283028374,0.5984332
367,he928,86.471435546875,28.535769763063357,0.60414296
368,he933,71.24377950032552,30.348436882873568,0.6473645
369,he934,112.28647867838542,27.631557382603546,0.58390284
370,he94048,289.75164794921875,23.407605185144984,0.45766804
371,he94049,414.966064453125,22.00374157883113,0.46377587
372,he94072,453.439453125,21.342991007771847,0.50680417
373,he94076,403.0557047526042,22.2121929660633,0.44390464
