,image,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
55,he84236,iou,0.5,21,12,44,0.36363636363636365,0.21428571428571427,0.15584415584415584,0.2696629213483146,56,33,0.1450132131576538,0.6767283280690511,0.18248853790626096
56,he84237,iou,0.5,12,6,39,0.3333333333333333,0.13333333333333333,0.10526315789473684,0.19047619047619047,45,18,0.0856866200764974,0.6426496505737305,0.12240945725213914
57,he84238,iou,0.5,34,54,102,0.6136363636363636,0.34615384615384615,0.28421052631578947,0.4426229508196721,156,88,0.22623959565773988,0.6535810541223597,0.2892899747754707
58,he84271,iou,0.5,18,38,51,0.6785714285714286,0.42696629213483145,0.35514018691588783,0.5241379310344828,89,56,0.2818900333361679,0.6602161307083932,0.3460443167850889
59,he84272,iou,0.5,22,26,50,0.5416666666666666,0.34210526315789475,0.2653061224489796,0.41935483870967744,76,48,0.23633713471262077,0.6908316245445838,0.2897035844864384
60,he84273,iou,0.5,54,51,87,0.4857142857142857,0.3695652173913043,0.265625,0.41975308641975306,138,105,0.2467417786086815,0.6676542244705499,0.2802499213827
61,he84274,iou,0.5,25,9,31,0.2647058823529412,0.225,0.13846153846153847,0.24324324324324326,40,34,0.14894962310791016,0.6619983249240451,0.16102661957611908
62,he84279,iou,0.5,14,9,51,0.391304347826087,0.15,0.12162162162162163,0.21686746987951808,60,23,0.10456022421518961,0.6970681614345975,0.1511714085038886
63,he84280,iou,0.5,14,35,75,0.7142857142857143,0.3181818181818182,0.28225806451612906,0.44025157232704404,110,49,0.205759690024636,0.6466733115059989,0.28469894217245234
64,he84313,iou,0.5,8,22,45,0.7333333333333333,0.3283582089552239,0.29333333333333333,0.4536082474226804,67,30,0.21085813152256297,0.6421588550914418,0.2912885528249839
65,he84315,iou,0.5,45,60,139,0.5714285714285714,0.3015075376884422,0.2459016393442623,0.39473684210526316,199,105,0.20191275055084995,0.6696772893269857,0.26434629841854695
66,he84316,iou,0.5,32,40,111,0.5555555555555556,0.26490066225165565,0.2185792349726776,0.35874439461883406,151,72,0.17685656515967768,0.6676335334777832,0.23950978779472043
67,he84317,iou,0.5,26,50,63,0.6578947368421053,0.4424778761061947,0.3597122302158273,0.5291005291005291,113,76,0.29090516757121127,0.6574456787109375,0.3478548564608135
68,he84319,iou,0.5,28,35,74,0.5555555555555556,0.3211009174311927,0.25547445255474455,0.4069767441860465,109,63,0.20680387304463518,0.6440463474818638,0.2621118856030841
69,he84359,iou,0.5,11,8,27,0.42105263157894735,0.22857142857142856,0.17391304347826086,0.2962962962962963,35,19,0.14882495062691825,0.6511091589927673,0.19292123229415328
70,he84360,iou,0.5,29,66,109,0.6947368421052632,0.37714285714285717,0.3235294117647059,0.4888888888888889,175,95,0.2516424996512277,0.6672339005903765,0.32620324028862846
71,he8473,iou,0.5,1,5,20,0.8333333333333334,0.2,0.19230769230769232,0.3225806451612903,25,6,0.14808956146240235,0.7404478073120118,0.23885413139097153
72,he8474,iou,0.5,16,32,136,0.6666666666666666,0.19047619047619047,0.17391304347826086,0.2962962962962963,168,48,0.12364742869422549,0.6491490006446838,0.19234044463546188
73,he8475,iou,0.5,5,13,188,0.7222222222222222,0.06467661691542288,0.06310679611650485,0.1187214611872146,201,18,0.04254139003468983,0.6577553382286658,0.07808967485819777
74,he8476,iou,0.5,7,26,163,0.7878787878787878,0.13756613756613756,0.1326530612244898,0.23423423423423423,189,33,0.09212516098426132,0.6696790548471304,0.15686176059482335
75,he8477,iou,0.5,17,36,147,0.6792452830188679,0.19672131147540983,0.18,0.3050847457627119,183,53,0.12923127054516734,0.6569256252712674,0.20041798737089514
76,he8478,iou,0.5,27,42,173,0.6086956521739131,0.19534883720930232,0.17355371900826447,0.29577464788732394,215,69,0.1289718982785247,0.6602132888067336,0.19527435302734375
77,he852,iou,0.5,4,0,3,0.0,0.0,0.0,0.0,3,4,0.0,0.0,0.0
78,he8533,iou,0.5,17,42,139,0.711864406779661,0.23204419889502761,0.21212121212121213,0.35,181,59,0.15900170342039666,0.6852216266450428,0.23982756932576496
79,he8534,iou,0.5,16,30,125,0.6521739130434783,0.1935483870967742,0.17543859649122806,0.29850746268656714,155,46,0.12996145679104712,0.6714675267537434,0.20043806768768463
80,he8535,iou,0.5,17,27,147,0.6136363636363636,0.15517241379310345,0.14136125654450263,0.24770642201834864,174,44,0.10114691723352191,0.6518356888382523,0.16146388622598912
81,he856,iou,0.5,2,0,32,0.0,0.0,0.0,0.0,32,2,0.0,0.0,0.0
82,he857,iou,0.5,0,2,7,1.0,0.2222222222222222,0.2222222222222222,0.36363636363636365,9,2,0.12745609548356798,0.5735524296760559,0.20856451988220215
83,he858,iou,0.5,3,4,21,0.5714285714285714,0.16,0.14285714285714285,0.25,25,7,0.10717462539672852,0.6698414087295532,0.1674603521823883
84,he88732,iou,0.5,10,19,28,0.6551724137931034,0.40425531914893614,0.3333333333333333,0.5,47,29,0.2672371762864133,0.6610603834453382,0.3305301917226691
85,he88733,iou,0.5,18,20,21,0.5263157894736842,0.4878048780487805,0.3389830508474576,0.5063291139240507,41,38,0.3274601261790206,0.6712932586669922,0.33989532084404667
86,he88734,iou,0.5,11,12,14,0.5217391304347826,0.46153846153846156,0.32432432432432434,0.4897959183673469,26,23,0.32018302037165713,0.6937298774719238,0.339786062435228
87,he88735,iou,0.5,9,23,26,0.71875,0.46938775510204084,0.39655172413793105,0.5679012345679012,49,32,0.3241413272157007,0.6905619579812755,0.3921709884831935
88,he88752,iou,0.5,76,130,132,0.6310679611650486,0.4961832061068702,0.38461538461538464,0.5555555555555556,262,206,0.3272669551936725,0.6595687866210938,0.36642710367838544
89,he88753,iou,0.5,65,95,110,0.59375,0.4634146341463415,0.35185185185185186,0.5205479452054794,205,160,0.310943063875524,0.6709824009945519,0.349278510106753
90,he88754,iou,0.5,55,79,83,0.5895522388059702,0.4876543209876543,0.3640552995391705,0.5337837837837838,162,134,0.31736997910487796,0.6508093242403827,0.3473914636147989
91,he88755,iou,0.5,71,76,94,0.5170068027210885,0.4470588235294118,0.3153526970954357,0.4794952681388013,170,147,0.28683276456945084,0.6415996049579821,0.3076439746170766
92,he88756,iou,0.5,49,70,90,0.5882352941176471,0.4375,0.3349282296650718,0.5017921146953405,160,119,0.29080612659454347,0.6646997179303851,0.33354107709768427
93,he88761,iou,0.5,54,59,53,0.5221238938053098,0.5267857142857143,0.35542168674698793,0.5244444444444445,112,113,0.3445678779057094,0.6540949546684653,0.34303646511501734
94,he88762,iou,0.5,9,5,9,0.35714285714285715,0.35714285714285715,0.21739130434782608,0.35714285714285715,14,14,0.23453732899257115,0.6567045211791992,0.23453732899257115
