,image,MSE,PSNR,SSIM
343,he89919,364.4582926432292,22.309708556195954,0.6493205
344,he89920,97.52522786458333,29.262531328601607,0.63358134
345,he89921,41.57904052734375,34.04777134857082,0.7213128
346,he89923,273.039306640625,23.420384358684565,0.6703179
347,he89974,442.1256103515625,21.724344221830854,0.6599425
348,he89975,392.5035807291667,22.199639529780434,0.6486156
349,he89976,560.6765543619791,20.60855124689525,0.66700596
350,he90026,401.583984375,22.122510531444078,0.6686701
351,he90027,438.7238362630208,21.701328504650608,0.6530342
352,he90028,455.0282796223958,21.549007195766126,0.6350772
353,he90029,535.4714762369791,20.791887305069103,0.6394755
354,he90030,322.21388753255206,23.190326160298692,0.6347516
355,he90031,410.2789713541667,21.841734766506853,0.61524254
356,he90080,244.9992472330729,24.55821741947696,0.66850615
357,he90081,346.6626790364583,22.76232900728319,0.6374516
358,he90082,364.3929036458333,22.842720557553623,0.6573364
359,he90083,289.5351969401042,24.333122368001415,0.66481626
360,he90084,312.14617919921875,23.42777123461055,0.63799936
361,he90085,246.35298665364584,24.018312464000072,0.6321532
362,he90134,89.86440022786458,28.780639021258658,0.691791
363,he90135,523.3930257161459,20.790570130810725,0.655595
364,he90136,365.96533203125,22.43674086486079,0.64128065
365,he90137,440.534912109375,21.5099639301539,0.6744315
366,he925,42.30621337890625,31.86826722471548,0.6392388
367,he928,60.73120625813802,30.179702654435573,0.62983984
368,he933,37.14590962727865,33.63220799163212,0.68488485
369,he934,76.73104349772136,29.568732093868697,0.6124425
370,he94048,228.5711466471354,24.498427417681693,0.48629877
371,he94049,320.7587890625,23.21265587041583,0.50682837
372,he94072,356.1127115885417,22.447198373710265,0.53877985
373,he94076,348.7613118489583,22.82967308512807,0.46258876
374,he94077,423.6713460286458,21.922334834103903,0.47017786
375,he94078,329.0293782552083,23.0157515760191,0.4368246
376,he94100,329.8376057942708,22.862192992600512,0.5064431
377,he94101,514.0640462239584,20.888877719696207,0.5161217
378,he94102,411.8162841796875,22.225602068787115,0.5530227
379,he94103,460.8814697265625,21.597911007124768,0.4282217
380,he94104,367.3099772135417,22.59937167791195,0.46765125
381,he94105,164.63724772135416,26.165305019895598,0.50699073
382,he94106,185.84381103515625,25.32316451732015,0.5977418
383,he94127,477.6121826171875,21.17593366931354,0.5128722
384,he94128,466.3900553385417,21.46397141448093,0.45999444
385,he94129,440.0920817057292,21.82631504044658,0.49258745
386,he94130,356.5857340494792,22.595993491324762,0.49923837
