,image,criterion,thresh,fp,tp,fn,precision,recall,accuracy,f1,n_true,n_pred,mean_true_score,mean_matched_score,panoptic_quality
52,he84230,iou,0.5,54,69,16,0.5609756097560976,0.8117647058823529,0.49640287769784175,0.6634615384615384,85,123,0.6175200069651884,0.7607130520585654,0.5047038518465482
53,he84231,iou,0.5,184,87,21,0.3210332103321033,0.8055555555555556,0.2979452054794521,0.45910290237467016,108,271,0.5924702043886538,0.7354802537238461,0.3376611191238766
54,he84232,iou,0.5,75,46,16,0.38016528925619836,0.7419354838709677,0.3357664233576642,0.5027322404371585,62,121,0.5468678012970956,0.7370826887047809,0.37055523147999914
55,he84236,iou,0.5,47,39,17,0.45348837209302323,0.6964285714285714,0.3786407766990291,0.5492957746478874,56,86,0.5109199796404157,0.7336286887144431,0.4029791388713138
56,he84237,iou,0.5,51,34,11,0.4,0.7555555555555555,0.3541666666666667,0.5230769230769231,45,85,0.5836995866563585,0.7725435705745921,0.40409971383901744
57,he84238,iou,0.5,65,128,28,0.6632124352331606,0.8205128205128205,0.579185520361991,0.7335243553008596,156,193,0.60192993359688,0.7336021065711975,0.5381150122699901
58,he84271,iou,0.5,39,67,22,0.6320754716981132,0.7528089887640449,0.5234375,0.6871794871794872,89,106,0.5589204852500659,0.742446614735162,0.510194083971855
59,he84272,iou,0.5,62,63,13,0.504,0.8289473684210527,0.45652173913043476,0.6268656716417911,76,125,0.6095066572490492,0.7352778722369482,0.46092045722316155
60,he84273,iou,0.5,196,107,31,0.35313531353135313,0.7753623188405797,0.3203592814371258,0.4852607709750567,138,303,0.5778952888820482,0.7453228959413333,0.36167596310985334
61,he84274,iou,0.5,59,28,12,0.3218390804597701,0.7,0.2828282828282828,0.4409448818897638,40,87,0.5323597431182862,0.7605139187404087,0.33534472007451094
62,he84279,iou,0.5,51,33,27,0.39285714285714285,0.55,0.2972972972972973,0.4583333333333333,60,84,0.3949361165364583,0.7180656664299242,0.3291134304470486
63,he84280,iou,0.5,48,92,18,0.6571428571428571,0.8363636363636363,0.5822784810126582,0.736,110,140,0.6359589316628196,0.7603856791620669,0.5596438598632812
