,image,MSE,PSNR,SSIM
665,he96384,81.41636149088542,28.90895890613355,0.7084045
666,he96387,63.53783671061198,30.107637083221483,0.75086087
667,he96388,81.83674621582031,28.80908631256991,0.70236987
668,he96409,78.71191914876302,29.29662930077579,0.71391994
669,he96452,77.90770975748698,29.48073566172662,0.6776212
670,he9674,195.06705729166666,25.203234767507418,0.674613
671,he9675,246.39286295572916,24.129481268755285,0.6797344
672,he9676,206.40494791666666,25.08152887454523,0.62944347
673,he9678,288.9369710286458,23.736411692205166,0.65674335
674,he9679,314.4101155598958,23.11279613127396,0.62066406
675,he9681,97.5695292154948,28.140942190185374,0.5669687
676,he96997,593.4849446614584,20.189356398141186,0.65173674
677,he96998,552.0446370442709,20.705324279645577,0.6514416
678,he96999,421.8391520182292,21.999113826482105,0.5740739
679,he97000,386.1824137369792,22.243664991381635,0.6676459
680,he97062,509.099853515625,21.08216829834464,0.6752568
681,he97063,549.5524495442709,20.750732635942466,0.6540232
682,he97064,568.04248046875,20.547956740241947,0.64860374
683,he97065,443.8895263671875,21.700665103261944,0.6879738
684,he97066,583.5438639322916,20.560362051559395,0.6711254
685,he97067,508.3691813151042,21.212157763185488,0.69573903
686,he97068,385.0633544921875,22.33139284046451,0.7019641
687,he97129,614.9665934244791,20.241975731485212,0.6712582
688,he97130,551.3717041015625,20.809900184622215,0.68439454
689,he97131,586.394287109375,20.45045526016903,0.67053646
690,he97132,436.5897623697917,21.77811823865383,0.74062014
691,he97133,450.8765869140625,21.749851740122473,0.70779777
692,he97134,396.7086181640625,22.277595225649737,0.7124889
693,he97135,294.430419921875,23.42573964504456,0.73321986
694,he97198,341.8186848958333,23.23379352403363,0.71132326
695,he97199,418.6846110026042,22.120426634886897,0.81377727
696,he97200,425.91162109375,21.75058857972718,0.75056314
697,he97201,271.9776611328125,23.80540728954987,0.7470984
698,he9724,67.3079833984375,29.833693040192596,0.69206256
699,he9725,117.77943929036458,27.269353299021105,0.7233842
700,he9726,196.98004150390625,24.98889801897011,0.675297
701,he9727,185.4521280924479,25.336169813079596,0.66379803
702,he9728,130.2150675455729,26.979199944148945,0.6746106
703,he9729,142.36245727539062,26.5476867727177,0.6672616
704,he9730,153.97481282552084,26.511174504204785,0.678201
705,he9731,361.2486165364583,22.332068233673382,0.61388963
706,he9732,277.1566569010417,23.652832656515518,0.6482305
707,he9733,143.7855428059896,26.637722419143692,0.5064553
708,he97674,806.3360188802084,19.10598179073547,0.62367094
709,he97675,721.8050130208334,19.617142045663748,0.681748
710,he97676,744.8063151041666,19.477356819368726,0.6733849
711,he97741,529.0459391276041,21.003203805568383,0.64115113
712,he97742,595.9333089192709,20.38523123834574,0.67789143
713,he97743,443.898193359375,21.729703659087896,0.6745264
714,he9774,169.6519571940104,25.67002222319338,0.705365
715,he9775,55.52751668294271,30.80619417772786,0.66233444
716,he9776,168.61419677734375,25.504726097916496,0.7082394
717,he9777,157.2725626627604,26.24071547894622,0.68932897
718,he9778,168.09398396809897,25.8133635019415,0.6736762
719,he97799,696.8179524739584,19.581190284856785,0.6549406
720,he9779,105.4158935546875,27.54632145281161,0.7046459
721,he97800,547.238037109375,20.60743900766967,0.67222136
722,he97806,366.1454264322917,22.384343838944005,0.7621234
723,he97807,352.397705078125,22.811428770153846,0.69219905
724,he97808,789.0916341145834,19.135005266465598,0.6411105
725,he97809,583.8888346354166,20.54741060239282,0.6545386
726,he9780,46.33104960123698,31.85279626815612,0.6846077
727,he97810,458.2187093098958,21.414507489002965,0.67329484
728,he9781,237.9265340169271,24.650651532085238,0.6881358
729,he9782,206.70174153645834,25.173459955801153,0.6892459
730,he9783,238.29361979166666,24.685970605746824,0.68196505
731,he97865,447.0804443359375,21.57699558089588,0.6952596
732,he97866,482.9174397786458,21.464218690165392,0.6550284
733,he97867,440.7775472005208,21.93939753089023,0.65106153
734,he97868,544.53125,20.876834331880836,0.6756377
735,he97875,715.3226725260416,19.60142577035528,0.6457716
736,he97876,482.6386311848958,21.292983142811444,0.69568914
737,he97931,355.73583984375,22.573467390087814,0.71248585
738,he97932,431.8064778645833,21.949998498955708,0.7287524
739,he97933,463.7242024739583,21.62755996778918,0.67125183
740,he97934,491.6232503255208,21.258729528646892,0.67429143
741,he97935,681.4053548177084,19.829242063646994,0.6835799
742,he97938,328.7810465494792,22.73427041004176,0.72027725
743,he97939,324.9938557942708,23.37234871502448,0.72755677
744,he97946,164.7689005533854,25.83117339281555,0.46519408
745,he97947,290.09104410807294,23.24898363245435,0.53407663
746,he97948,522.1912434895834,20.808305002445202,0.5356624
747,he97949,581.0863444010416,20.232007276512014,0.46420607
748,he97950,255.2512410481771,23.932529848067567,0.32174343
749,he97998,604.8856608072916,20.338352545575994,0.7382068
750,he97999,422.1286214192708,21.99000297244025,0.7121194
751,he98000,525.2144775390625,21.009089259579937,0.63821477
752,he98001,352.0196940104167,22.71861742104267,0.69401
753,he98002,505.63427734375,21.18265136223094,0.6851421
754,he98004,399.1485595703125,21.86058515551657,0.6792915
755,he98005,483.692626953125,21.284374104771793,0.6777568
756,he98006,741.6890462239584,19.496836135861898,0.6754435
757,he98013,178.02274576822916,25.610704557741993,0.4169476
758,he98014,186.9976806640625,25.345778838905765,0.3412783
759,he98015,268.16162109375,23.9106521442169,0.391716
760,he98016,431.8235270182292,21.620897022030448,0.4200084
761,he98017,244.9940388997396,24.273128103517443,0.28448397
762,he98018,291.8843180338542,23.333994387631066,0.36278844
763,he98038,327.4990234375,23.20801971925053,0.6925154
764,he98039,493.5221761067708,21.276550206851212,0.6898152
765,he98040,542.1376139322916,20.86029814385475,0.66194344
766,he98041,545.6493326822916,20.756990529051468,0.6761029
767,he98064,393.1618245442708,22.25994649251981,0.7272698
768,he98065,611.01025390625,20.32594323195636,0.7345342
769,he98066,444.0458170572917,21.680659065831097,0.6997611
770,he98067,539.544921875,20.818750132223073,0.6127043
771,he98068,360.5079752604167,22.668277170502627,0.6893061
772,he98070,241.75004069010416,24.347207529120944,0.7407088
773,he98071,519.9211832682291,20.956140928119787,0.6996514
774,he98072,597.8149007161459,20.358195169665724,0.67828065
775,he98073,564.9034830729166,20.731599407250858,0.6772976
776,he98074,651.6982828776041,20.052958153714382,0.71709967
777,he98080,191.34794108072916,25.3392246872696,0.40036997
778,he98081,162.04137166341147,26.051029482692446,0.30378476
779,he98082,166.05694580078125,25.938000949041925,0.22849125
780,he98083,184.63482666015625,25.39120056549986,0.2439639
781,he98084,157.19239298502603,26.236033352568157,0.25534052
782,he98085,304.345947265625,23.186750400472427,0.36569634
783,he98105,508.4230550130208,21.264799542071717,0.7038098
784,he98106,600.0548095703125,20.411015476791277,0.6991686
785,he98107,649.3256429036459,19.975662507740694,0.6477534
786,he98108,557.7410888671875,20.7345939840667,0.6574591
787,he98130,275.8007405598958,23.8179116697121,0.7312047
788,he98131,387.373046875,22.323239579787824,0.73639774
789,he98132,499.01708984375,21.24448098435312,0.7143855
790,he98133,433.9693196614583,21.8671173256504,0.6850205
791,he98134,484.25390625,21.333126890954293,0.63988775
792,he98135,414.4715169270833,22.073253525043704,0.6792906
793,he98137,412.1327718098958,21.970220794877715,0.70420957
794,he98138,485.9825846354167,21.532110875134094,0.702749
795,he98139,483.7023518880208,21.378301080616986,0.6929621
796,he98140,332.74782307942706,22.878741271015098,0.70822525
797,he98146,173.88509114583334,25.783514495273483,0.41428566
798,he98147,177.19095865885416,25.824432399479264,0.28706762
799,he98148,124.86807250976562,27.323911824838795,0.28137586
800,he98149,148.01627604166666,26.318396639501643,0.27033588
801,he98150,156.9277140299479,26.169630913446223,0.27341792
802,he98151,126.04836018880208,27.116580065334514,0.2573918
803,he98152,125.68235270182292,27.20133339630287,0.2534053
804,he98153,378.2306722005208,22.201804093764046,0.54575926
805,he98168,302.3302408854167,23.600260533566207,0.7218065
806,he98169,632.2111002604166,20.02250364157399,0.74914694
807,he98170,772.7771809895834,19.278775918642015,0.73787975
808,he98171,672.6271565755209,19.9753710573917,0.71409744
809,he98172,628.1347249348959,20.328447320908914,0.6681261
810,he98173,568.7664388020834,20.679056542381055,0.6935771
811,he98174,543.5804443359375,20.813295826241827,0.6515576
812,he98175,501.455322265625,21.184836496863785,0.668395
813,he98176,220.72550455729166,24.870438409635696,0.6844179
814,he98198,397.9505208333333,22.090038158381947,0.73718834
815,he98200,427.9053141276042,21.901263477841297,0.6963959
816,he98201,445.5452880859375,21.85908444219805,0.67028713
817,he98202,390.6806640625,22.23868238685739,0.7176263
818,he98204,389.1473795572917,22.307304743781373,0.73232967
819,he98205,499.4202067057292,21.150561564062418,0.7132432
820,he98213,180.91056315104166,26.169381590571433,0.34846434
821,he98214,163.73199462890625,26.017678068999924,0.27112612
822,he98215,147.81548055013022,26.50903590456479,0.2586209
823,he98216,138.9936319986979,26.742561690254767,0.25230247
824,he98217,161.57281494140625,26.038905088582418,0.28407595
825,he98218,112.38858032226562,27.648293896604848,0.29276553
826,he98219,126.96126302083333,27.06812029745217,0.28585017
827,he98220,464.3017578125,21.382923873730576,0.56509715
828,he98235,617.5646158854166,20.172924288053117,0.69781876
829,he98236,732.490966796875,19.52850114991128,0.6601587
830,he98237,655.4212239583334,20.114898422700932,0.65773696
831,he98238,591.8724772135416,20.40544455113176,0.67950726
832,he98239,581.4398600260416,20.413718875177413,0.7235899
833,he98240,518.3352457682291,21.063014183123677,0.6551313
834,he98241,546.54541015625,20.71263896391598,0.6491112
835,he98242,505.997314453125,21.126355624210326,0.6796058
836,he98243,514.889892578125,21.014823062346064,0.6867749
837,he9825,416.3487548828125,21.74238183211923,0.6146171
838,he98265,387.4487711588542,22.504264945399623,0.74911743
839,he98266,454.0979410807292,21.63201108005946,0.6989278
840,he98267,382.9702962239583,22.29115732950025,0.7038844
841,he98268,536.0908203125,20.941373962724033,0.6729396
842,he98269,328.57253011067706,23.114093965552897,0.7434729
843,he9826,85.09759521484375,29.218177091630665,0.66919464
844,he98270,366.3590087890625,22.455315275940592,0.6966049
845,he98272,310.03843180338544,22.897406609778695,0.6957938
846,he98276,347.6466471354167,22.507209792477912,0.6853691
847,he98277,393.2408447265625,21.938579541090988,0.6867583
848,he9827,127.95987955729167,26.755623104182618,0.6623657
