,image,MSE,PSNR,SSIM
270,he89571,34.47978210449219,33.18471197656682,0.72522116
271,he89593,307.6051025390625,23.316965246604497,0.7468555
272,he89594,344.6949462890625,22.74453891916796,0.74255854
273,he89595,258.5409342447917,24.218026267443385,0.7324009
274,he89596,249.51261393229166,24.160612879218633,0.72281903
275,he89597,168.12909952799478,25.89715106116659,0.71141106
276,he89598,268.0149332682292,23.751723794297423,0.71389246
277,he895,127.28397623697917,26.90751266462463,0.6870896
278,he89616,109.30277506510417,27.467469270845854,0.45237884
279,he89617,123.26438395182292,27.42616388123406,0.35544923
280,he89618,168.58615112304688,25.71452435928102,0.41295627
281,he89619,169.4663289388021,25.795557838686477,0.51452225
282,he89620,173.81477864583334,25.79100026120274,0.5607798
283,he89621,72.75537618001302,29.67869869016715,0.72224593
284,he89624,97.95127360026042,28.262261409248314,0.6960657
285,he89626,12.440155029296875,37.103394417295654,0.7603144
286,he89627,117.8626708984375,27.30622620805958,0.7438758
287,he89647,351.8311767578125,22.640718198916492,0.78577495
288,he89648,291.0257568359375,23.462289798893078,0.74177283
289,he89649,297.5636800130208,23.32349154708933,0.71716213
290,he89650,225.24763997395834,24.647603426042537,0.7292641
291,he89651,241.27303059895834,24.383565934610438,0.7094455
292,he89652,311.7396240234375,23.32495164226374,0.7385163
293,he89653,231.3712158203125,24.627873772366303,0.6986223
294,he89672,148.9520263671875,26.42299467914457,0.4844667
295,he89673,172.70159912109375,25.651043239850885,0.6570651
296,he89674,126.53342692057292,27.33079848186735,0.6807048
297,he89677,167.7483113606771,25.59654211671073,0.7209828
298,he89678,114.76515706380208,27.479852374764214,0.7253051
299,he89680,105.07506306966145,27.76816233171359,0.7224574
300,he896,217.2396036783854,24.806849927525416,0.617194
301,he89701,369.0614827473958,22.46945415429236,0.75059766
302,he89702,299.26308186848956,23.34414452518711,0.76665133
303,he89703,272.66204833984375,23.656107446832372,0.7287995
304,he89704,84.94013977050781,29.447085141806483,0.7287201
305,he89705,240.45792643229166,24.388203243180484,0.71812767
306,he89706,323.8405354817708,23.290799391560995,0.7206397
307,he89707,374.0179443359375,22.380113565038734,0.71775126
308,he89726,151.19734700520834,26.039499941896217,0.51316863
309,he89727,163.5818888346354,26.143787759199686,0.4836155
310,he89728,233.55950927734375,24.36312576968243,0.6656833
311,he89729,159.4742228190104,26.06498963481977,0.67835885
312,he89730,219.2603759765625,24.763976021211448,0.70661545
313,he89731,215.48555501302084,24.779899213402015,0.69095516
314,he89732,204.3533935546875,24.968122313062064,0.6781602
315,he89733,53.36845906575521,31.767419836897606,0.7742104
316,he89756,270.94736735026044,24.063874009163875,0.73325914
317,he89757,242.2501424153646,24.629950552278114,0.7327659
318,he89758,229.6400146484375,24.708563489851283,0.7246373
319,he89759,279.41015625,23.712785862587253,0.73899263
320,he89760,347.7214762369792,22.631543327909235,0.75575215
321,he89761,174.5291544596354,26.21316216843227,0.7148264
322,he89762,160.91348266601562,26.106278566539935,0.6627379
323,he89781,167.4701944986979,25.802180861110347,0.53110474
324,he89782,193.12520345052084,25.168744034406522,0.68563867
325,he89783,136.82963053385416,26.557184720544594,0.6948044
326,he89784,188.9248250325521,25.50432466950749,0.70780164
327,he897,106.68406168619792,28.00077529713232,0.63779926
328,he89809,229.47049967447916,24.485145091231427,0.7010507
329,he89810,221.9373982747396,24.56731136609823,0.73113054
330,he89811,289.6241048177083,23.488957991433384,0.7370949
331,he89812,208.46063232421875,25.419529811855362,0.72584087
332,he89813,217.01692708333334,25.33372119569544,0.7325588
